Hebrew,English,Safe,Hebrew_st,Hebrew_e,English_st,English_e
"...ואבי, .מצא את אהבת חייו","And my father, found the love of his life.",True,"00:04:58,640","00:05:02,350","00:04:58,591","00:05:02,303"
"'בקטגוריה 4, ההוריקן 'ארתור",Category 4 Hurricane Arthur,True,"00:05:06,990","00:05:09,150","00:05:07,100","00:05:08,685"
?מה דעתך על ארתור,How about Arthur?,True,"00:05:11,460","00:05:13,800","00:05:11,437","00:05:13,606"
?על שם ההוריקן,After the hurricane?,True,"00:05:14,400","00:05:15,870","00:05:14,357","00:05:15,817"
.הוא יותר מכך,He's more than that.,True,"00:05:20,570","00:05:23,370","00:05:20,571","00:05:23,449"
"הוא ההוכחה שעמינו, .יכולים לחיות בדו-קיום","He's living proof, our people can coexist.",True,"00:05:23,380","00:05:27,040","00:05:23,574","00:05:26,327"
".יום אחד, תוכל לאחד את העולמות שלנו",He could unite our worlds one day.,True,"00:05:27,210","00:05:29,910","00:05:27,161","00:05:29,747"
"והעניק למלך אטלן את השליטה, .על שבעת הימים","And it gave King Atlan mastery, over the seven seas.",True,"00:05:42,090","00:05:47,430","00:05:42,218","00:05:47,098"
"הוא הפך אותו לרב-עוצמתי עד כי, ,האוקיינוס נהיה קנאי","It made him so powerful, that the ocean itself became jealous",True,"00:05:47,430","00:05:51,640","00:05:47,640","00:05:51,769"
"ושלח רעידת אדמה גדולה כדי, .לחרוב את אטלנטיס","and sent a terrible earthquake, to destroy Atlantis.",True,"00:05:51,640","00:05:56,110","00:05:51,894","00:05:55,565"
"למטה הוא שקע, אל תחתית האוקיינוס","Down it fell,, to the bottom of the ocean.",True,"00:05:56,110","00:05:58,510","00:05:56,274","00:05:58,568"
",אבל, האגדה מספרת שיום אחד, ...יבוא מלך חדש","But, legend has it, that one day a new king will come",True,"00:05:58,510","00:06:03,110","00:05:58,735","00:06:03,114"
",שישתמש בכוח הקלשון",who will use the power of the trident,True,"00:06:03,110","00:06:05,450","00:06:03,281","00:06:05,575"
.כדי לשוב ולאחד את אטלנטיס,to put Atlantis back together again.,True,"00:06:05,450","00:06:08,680","00:06:05,658","00:06:08,536"
"!תום, קח אותו",Take him!,True,"00:06:14,830","00:06:16,760","00:06:14,876","00:06:16,544"
",המלכה אטלנה","Queen Atlanna,",True,"00:06:35,050","00:06:36,410","00:06:35,146","00:06:36,439"
!אטלנה,Atlanna!,True,"00:06:41,650","00:06:42,920","00:06:41,652","00:06:42,737"
...אבל אטלנטיס זוכרת הרבה,But Atlantis' memory is long...,True,"00:06:45,520","00:06:47,990","00:06:45,740","00:06:47,825"
.והמלך שלה סירב לשחרר אותה,And its king refused to let her go.,True,"00:06:49,830","00:06:52,630","00:06:50,119","00:06:52,371"
"!הנשק שלי, !תפסי-","- My weapon!, - Here!",True,"00:07:07,480","00:07:09,380","00:07:07,428","00:07:09,305"
"ואני נוצרתי מאהבה, .שלא הייתה צריכה להתקיים","and I was a product of a love, that never should've been.",True,"00:07:38,780","00:07:42,180","00:07:39,043","00:07:42,130"
",בבקשה, אטלנה, .את לא חייבת לעשות זאת","You don't have to do this, Atlanna., Please.",True,"00:07:42,180","00:07:44,150","00:07:42,255","00:07:44,090"
.לא. הם תמיד יימצאו אותי,No. They will always find me.,True,"00:07:44,150","00:07:48,280","00:07:44,257","00:07:47,593"
.פעם הבאה יישלחו לפה צבא,"Next time, they'll send an army.",True,"00:07:48,290","00:07:50,050","00:07:48,427","00:07:49,887"
".אני מוכרחה לחזור, .זו הדרך היחידה להציל אותו","I have to go back., It is the only way to save him.",True,"00:07:52,120","00:07:56,560","00:07:52,223","00:07:56,519"
.להציל אותך,Save you.,True,"00:07:59,830","00:08:01,570","00:07:59,856","00:08:01,524"
...מהמקום שבו אני מגיעה,Where I come from...,True,"00:08:06,140","00:08:08,170","00:08:06,195","00:08:08,030"
.הים נושא עימו את דמעותינו,The sea carries our tears away.,True,"00:08:09,810","00:08:12,360","00:08:09,824","00:08:12,577"
.כאן לא,Not here.,True,"00:08:15,350","00:08:16,350","00:08:15,246","00:08:16,247"
.את מרגישה אותן,Here you feel them.,True,"00:08:17,680","00:08:19,350","00:08:17,665","00:08:19,250"
...יום אחד,One day.,True,"00:08:32,430","00:08:33,560","00:08:32,346","00:08:33,389"
".ממש כאן, בזריחה","Right here, at sunrise.",True,"00:08:33,560","00:08:36,500","00:08:33,514","00:08:36,434"
.שוב נהיה יחד,We'll be together again.,True,"00:08:39,440","00:08:41,000","00:08:39,353","00:08:40,813"
".תישאר חזק, נסיך קטן שלי","You stay strong, my little prince.",True,"00:08:42,870","00:08:45,740","00:08:42,899","00:08:45,234"
.אני תמיד אהיה איתך,I'll always be with you.,True,"00:08:45,740","00:08:47,940","00:08:45,735","00:08:47,737"
".בוא הנה, !בנים -","- Come on. Come over here., - Boys!",True,"00:09:38,460","00:09:40,560","00:09:38,162","00:09:40,081"
"?שמי ארתור, מה שמך",My name's Arthur. What's yours?,True,"00:09:48,940","00:09:52,070","00:09:48,965","00:09:51,676"
ארתור מדבר עם הדגים,Arthur is talking to the fish.,True,"00:09:55,280","00:09:57,810","00:09:55,388","00:09:57,682"
?מי אתם,Who are you?,True,"00:12:03,040","00:12:04,110","00:12:03,057","00:12:04,058"
"!קדימה, זוזו","Come on, let's go. Move it.",True,"00:12:04,540","00:12:06,010","00:12:04,183","00:12:05,893"
"!קדימה, הזדרז",Come on. Hurry up.,True,"00:12:06,010","00:12:08,180","00:12:06,018","00:12:07,978"
".אדוני, הקברניט בידינו","Sir, we've secured the captain.",True,"00:12:17,290","00:12:18,990","00:12:17,363","00:12:18,906"
.אות המצוקה נוטרל,Distress signal's disabled.,True,"00:12:18,990","00:12:20,850","00:12:19,031","00:12:20,241"
.אנחנו רק שוקעים עוד יותר,We're running dark again.,True,"00:12:20,860","00:12:22,490","00:12:20,366","00:12:22,493"
".אעשה איתך עסקה, .לא אגיד לך איך להיות קברניט","I'll make you a deal., I won't tell you how to captain...",True,"00:12:25,070","00:12:29,080","00:12:25,121","00:12:28,749"
.ואתה לא תגיד לי איך להיות פיראט,And you don't tell me how to pirate.,True,"00:12:29,530","00:12:31,730","00:12:29,708","00:12:31,669"
?איפה כל הצוות,Where's the rest of the crew?,True,"00:12:42,810","00:12:44,480","00:12:43,013","00:12:44,223"
"הם קבעו שמרבית הגבורה, ,היא שיקול דעת","Decided discretion, was the better part of valor",True,"00:12:44,480","00:12:46,310","00:12:44,348","00:12:46,267"
.שמנו הטוב מקדים אותנו,Our reputation precedes us.,True,"00:12:48,420","00:12:50,120","00:12:48,519","00:12:50,062"
.שמך,Your reputation.,True,"00:12:50,120","00:12:51,780","00:12:50,146","00:12:51,605"
.זה הניצחון שלך,This is your win.,True,"00:12:51,790","00:12:53,220","00:12:51,730","00:12:53,023"
.קח,Here.,True,"00:12:58,030","00:12:59,430","00:12:58,028","00:12:59,280"
",שמור את האשפה הזו לעצמך",Can't take that piece of junk.,True,"00:13:00,930","00:13:03,200","00:13:00,906","00:13:02,741"
.זו אהבת חייך,It's the love of your life.,True,"00:13:03,340","00:13:04,630","00:13:03,242","00:13:04,535"
.מעולם לא סיפרתי לך את הסיפור שלה,I never told you the story behind it.,True,"00:13:06,130","00:13:08,470","00:13:06,162","00:13:08,330"
"הוא היה אחד הצוללנים הראשונים של חיל-הים, .במהלך מלחמת העולם ה-2","He was one of the Navy's first frogmen, during World War II.",True,"00:13:11,910","00:13:15,770","00:13:12,126","00:13:15,713"
",אבל לאחר המלחמה, ,מדינתו שכחה ממנו","But after the war,, his country forgot about him.",True,"00:13:21,420","00:13:24,180","00:13:21,510","00:13:24,346"
",אז הוא חזר אל הים, חקר ושרד בעזרת תבונתו","So, he went back to the sea,, scavenging and surviving with his wit...",True,"00:13:24,190","00:13:28,760","00:13:24,472","00:13:28,684"
.והסכין הזאת,And this knife.,True,"00:13:29,290","00:13:31,320","00:13:29,351","00:13:30,895"
.הוא מסר לי אותה כשהייתי בגילך,He gave it to me when I was your age.,True,"00:13:31,330","00:13:34,360","00:13:31,395","00:13:34,190"
".ועכשיו היא שלך, בן","And now it's yours, son.",True,"00:13:37,160","00:13:38,870","00:13:37,193","00:13:38,819"
.לא. משהו פגע בנו,No. Something hit us.,True,"00:14:11,130","00:14:14,300","00:14:11,143","00:14:13,771"
".לא, נדמה לי שזה בן-אדם",Uh... No. I think it's a man.,True,"00:14:17,000","00:14:18,640","00:14:16,982","00:14:18,692"
.זה לא בן-אדם,That's not a man.,True,"00:15:07,050","00:15:08,590","00:15:07,032","00:15:08,450"
".אלפא, ימין, .צוות בראבו, סרקו במסדרון","Alpha, to the right., Bravo team, sweep the passageway.",True,"00:15:12,190","00:15:16,660","00:15:12,454","00:15:15,916"
?יש רשות לעלות,Permission to come aboard?,True,"00:15:38,220","00:15:39,620","00:15:38,230","00:15:39,481"
!אקוומן,Aquaman!,True,"00:17:10,140","00:17:11,410","00:17:10,239","00:17:11,240"
?אני אמור לדעת מי אתה,Am I supposed to know who you are?,True,"00:17:56,520","00:17:58,120","00:17:56,577","00:17:58,078"
.חיפשתי אותך בכל האוקיינוסים,I scavenge the high seas.,True,"00:17:59,360","00:18:01,530","00:17:59,371","00:18:01,331"
.אתה אקוומן,You're the Aquaman.,True,"00:18:02,490","00:18:03,760","00:18:02,541","00:18:03,751"
.היינו חייבים להיפגש מתישהו,We were bound to meet at some point.,True,"00:18:03,760","00:18:06,030","00:18:03,876","00:18:05,794"
.בוא לא נהפוך את זה להרגל,Let's not make it a habit.,True,"00:18:10,040","00:18:11,470","00:18:09,965","00:18:11,258"
!קום,Up.,True,"00:18:12,000","00:18:12,680","00:18:11,925","00:18:13,010"
.אוו,Ow.,True,"00:19:07,850","00:19:08,560","00:19:07,356","00:19:08,357"
!אבא,Dad!,True,"00:19:21,910","00:19:23,210","00:19:21,787","00:19:23,163"
?אבא,Dad? Ow.,True,"00:19:25,240","00:19:26,320","00:19:25,207","00:19:26,959"
?זה הבן שלך,That's your kid?,True,"00:19:29,510","00:19:30,720","00:19:29,545","00:19:30,546"
.תתבייש,Shame on you.,True,"00:19:35,950","00:19:37,150","00:19:35,843","00:19:37,010"
!ממזר,Bastard!,True,"00:19:42,090","00:19:43,100","00:19:42,015","00:19:43,016"
!אבא,Dad!,True,"00:19:52,540","00:19:53,910","00:19:52,568","00:19:53,777"
!אבא,Dad!,True,"00:20:02,250","00:20:03,280","00:20:02,202","00:20:03,245"
!אתה לא יכול פשוט לעזוב,You can't leave him like this!,True,"00:20:09,520","00:20:11,290","00:20:09,334","00:20:10,961"
!בבקשה,Please!,True,"00:20:13,120","00:20:14,520","00:20:12,963","00:20:13,964"
".הרגתם חפים מפשע, .בקשו רחמים מהים","You killed innocent people., You ask the sea for mercy.",True,"00:20:14,530","00:20:18,600","00:20:14,298","00:20:18,385"
"!עכשיו, לך, !לא -","- Now, go!, - No!",True,"00:20:42,420","00:20:44,750","00:20:42,409","00:20:44,453"
"!לך, !שתוק -","- Go!, - Shut up!",True,"00:20:44,760","00:20:46,320","00:20:44,828","00:20:46,288"
!לא,No!,True,"00:20:51,160","00:20:52,160","00:20:51,084","00:20:52,085"
!לא,No!,True,"00:20:52,830","00:20:53,830","00:20:52,669","00:20:53,670"
!לעזאזל איתך,Damn you!,True,"00:21:11,620","00:21:13,290","00:21:11,647","00:21:13,231"
.לך,Go.,True,"00:21:13,850","00:21:14,850","00:21:13,690","00:21:14,691"
.תמיד יודע איפה למצוא ואתך,I always know where to find you.,True,"00:22:33,260","00:22:34,860","00:22:33,437","00:22:34,717"
.הרגלים ישנים,Old habits.,True,"00:22:35,700","00:22:37,070","00:22:35,731","00:22:36,940"
"אתה רוצה שאגיד להם, ?שישימו לך כוס עם קש","You want me to have them, put that in a sippy cup for you?",True,"00:22:51,780","00:22:55,050","00:22:52,080","00:22:54,916"
",איך ייתכן שאני יכול לנשום במים","How is it that I can breathe underwater,",True,"00:22:58,120","00:22:59,890","00:22:58,253","00:22:59,853"
.זה כוח-העל שלי,That's my superpower.,True,"00:23:02,290","00:23:05,130","00:23:02,466","00:23:05,177"
",ולפיתוח נוסף, יש בידינו דיווחים לא מאומתים","And a further development,, we now have unconfirmed reports",True,"00:23:16,470","00:23:19,810","00:23:16,688","00:23:19,941"
"שמדווחים כי איש-העל, 'הידוע בשמו 'אקוומן","that the metahuman dubbed, by social media as ""The Aquaman""",True,"00:23:19,810","00:23:23,550","00:23:20,067","00:23:23,695"
...היה אחראי לחילוץ הנועז הזה,was responsible for this daring rescue.,True,"00:23:23,550","00:23:25,420","00:23:23,779","00:23:25,363"
.כמו שוולקו אימן אותך,What Vulko trained you to do.,True,"00:23:32,020","00:23:34,290","00:23:32,120","00:23:34,331"
.אל תתחיל עם זה,Don't even start.,True,"00:23:40,630","00:23:42,200","00:23:40,629","00:23:41,630"
"היא האמינה, .שאתה תהיה זה שיאחד בין שני העולמות","She believed you'd be the one, to unite our two worlds.",True,"00:23:42,200","00:23:45,270","00:23:41,755","00:23:45,050"
".תפסיק, בבקשה",Just stop.,True,"00:23:45,270","00:23:46,440","00:23:45,175","00:23:46,384"
",לא משנה מה הבעיה של אטלנטיס, .אתה גדול יותר","Whatever Atlantis' problems are,, you're bigger than them.",True,"00:23:49,640","00:23:53,610","00:23:49,888","00:23:53,225"
.אטלנטיס רצחה את אימי,Atlantis murdered my mother.,True,"00:23:53,610","00:23:55,470","00:23:53,600","00:23:55,102"
.אתה לא יודע בוודאות,You don't know that for sure.,True,"00:23:55,650","00:23:57,140","00:23:55,644","00:23:56,895"
.אני כן,"Yes, I do.",True,"00:23:57,150","00:23:58,510","00:23:57,020","00:23:58,021"
".הם הרגו אותה, .כי היא אהבה אותך וילדה אותי","They killed her., For loving you and having me.",True,"00:23:58,650","00:24:02,320","00:23:58,730","00:24:02,234"
.ואתה כבר יודע,And you know it.,True,"00:24:02,920","00:24:04,520","00:24:02,984","00:24:04,486"
"בן. יום אחד תהיה חייב להפסיק, .להאשים את עצמך","Son, one day you're gonna, have to stop blaming yourself.",True,"00:24:08,760","00:24:12,760","00:24:09,032","00:24:12,077"
.גבר,"Hey, buddy.",True,"00:24:18,970","00:24:20,200","00:24:19,042","00:24:20,085"
?אתה ''נער הדג'' מהטלוויזיה,You that fish boy from the TV?,True,"00:24:21,640","00:24:24,040","00:24:21,628","00:24:23,880"
".הו, יופי","Oh, great.",True,"00:24:25,280","00:24:26,410","00:24:25,173","00:24:26,341"
"?זה ''איש הדג'', מה אתה רוצה","It's ""fish man."" What do you want?",True,"00:24:32,680","00:24:36,080","00:24:32,681","00:24:35,600"
.אומר לך מה אני רוצה,I'll tell you what I want.,True,"00:24:36,080","00:24:38,090","00:24:36,184","00:24:37,936"
?אני יכול להצטלם איתך,Could we get a picture with you?,True,"00:24:41,760","00:24:43,460","00:24:41,773","00:24:43,358"
.שיהיה,Whatever.,True,"00:24:54,730","00:24:55,940","00:24:54,578","00:24:55,662"
".קדימה. בוא נעשה את זה, .אל תיגע בי -","- All right. Let's do this., - Don't touch me.",True,"00:24:55,940","00:24:57,540","00:24:55,787","00:24:57,622"
",זה בדיוק מה שאעשה, אני אבוא מלמטה","Right, that's exactly right., I'm gonna go down here.",True,"00:24:57,540","00:24:59,840","00:24:57,747","00:24:59,787"
.הוא יאזין למה שיש לך לומר,He'll hear you out.,True,"00:25:58,840","00:26:00,800","00:25:58,850","00:26:00,393"
"המלך אורם, .המלך נריוס-","- King Orm., - King Nereus.",True,"00:26:19,950","00:26:22,160","00:26:19,996","00:26:22,082"
"מקום הפגישה שבחרת, .קרוב מדי ליבשה","You picked a meeting place, too close to the surface for my liking.",True,"00:26:22,160","00:26:25,590","00:26:22,499","00:26:25,710"
.התאספו כאן אבותינו,our ancestors gathered here.,True,"00:26:31,830","00:26:34,530","00:26:31,841","00:26:34,010"
".קסבל לצידו, כתמיד","Xebel, as always, by his side.",True,"00:26:38,040","00:26:40,940","00:26:38,098","00:26:40,850"
",בני הבריין, הדייגים",Brine. Fishermen.,True,"00:26:40,940","00:26:42,810","00:26:40,976","00:26:42,936"
.האומה האבודה עוד לא נעלמה אז,The Lost Nation had not yet vanished.,True,"00:26:45,050","00:26:47,150","00:26:45,105","00:26:47,357"
"יחד הם היו האימפריה הגדולה, .שראה העולם אי פעם","Together, they were the greatest empire, the world had ever seen.",True,"00:26:47,150","00:26:51,120","00:26:47,482","00:26:50,819"
"בזמן שהאיום שמעלינו, .גודל מעל לכל ספק","While the threat above us, grows undeniably...",True,"00:26:55,820","00:26:57,990","00:26:56,074","00:26:57,909"
.אלימות תמיד הטרידה את בני היבשה,Violence has always plagued the surface.,True,"00:26:57,990","00:27:00,300","00:26:58,034","00:27:00,161"
.הם ישמידו את עצמם,They will destroy themselves.,True,"00:27:01,100","00:27:02,530","00:27:01,162","00:27:02,539"
.ואותנו הם ישמידו קודם,Not before destroying us first.,True,"00:27:02,810","00:27:05,370","00:27:02,664","00:27:05,083"
.הסתתרנו די זמן,We have been hiding long enough.,True,"00:27:05,440","00:27:07,520","00:27:05,500","00:27:07,836"
"...כבודינו אליך, המלך נריוס","We honor you, King Nereus,",True,"00:27:12,440","00:27:14,610","00:27:12,590","00:27:14,551"
"בכך שנזמין את קסבל להיות הממלכה, הראשונה","by inviting Xebel, to be the first kingdom",True,"00:27:16,010","00:27:19,410","00:27:16,052","00:27:19,431"
.שתהיה בת בריתו של אורם,to join King Orm's alliance.,True,"00:27:19,410","00:27:21,710","00:27:19,556","00:27:21,558"
".כאילו שהייתה לך ברירה, וולקו","As if you had a choice, Vulko.",True,"00:27:21,720","00:27:23,550","00:27:21,683","00:27:23,601"
"האומה האבודה והעריקים, .מתו לפני זמן רב","The Lost Nation and the Deserters, have long perished.",True,"00:27:27,150","00:27:29,590","00:27:26,896","00:27:29,649"
.בני התעלה הפכו לדגי טרף,The Trench are nothing but animals.,True,"00:27:29,850","00:27:31,660","00:27:29,774","00:27:31,526"
"בני הבריין לא יסכימו להצטרף, .והדייגים הם פחדנים","The Brine will never join you,, and the Fishermen are cowards.",True,"00:27:32,010","00:27:34,590","00:27:31,860","00:27:34,487"
.אבל אני יודע מהו רצונך האמיתי,But I know what you really want.,True,"00:27:39,870","00:27:41,800","00:27:39,576","00:27:41,911"
"ברגע שתשיג את אמונם של, ,ארבעת הממלכות","Once you've obtained, the pledge of the four kingdoms,",True,"00:27:41,980","00:27:44,670","00:27:42,037","00:27:44,497"
...תהיה מוכתר בתור,you will be ordained,True,"00:27:44,670","00:27:46,340","00:27:44,622","00:27:46,207"
.שליט האוקיינוס,Ocean Master.,True,"00:27:47,480","00:27:48,740","00:27:47,375","00:27:48,710"
.זו סך-הכל כותרת,That is merely a title.,True,"00:27:50,210","00:27:51,720","00:27:50,295","00:27:51,546"
".אינני טיפש, המלך אורם","I'm no fool, King Orm.",True,"00:27:52,210","00:27:54,210","00:27:52,297","00:27:54,174"
.אני הבחירה הטבעית להנהיג,I am the natural choice to lead it.,True,"00:27:58,700","00:28:00,490","00:27:58,636","00:28:00,388"
"מה לגבי השמועות האומרות, ?שקיים עוד אחד","What about the rumors, that there's another?",True,"00:28:04,730","00:28:07,360","00:28:04,934","00:28:07,395"
.בן אטלנטי שחי ביבשה,"An Atlantean, living among the surface.",True,"00:28:07,360","00:28:10,960","00:28:07,479","00:28:10,273"
.בעל דם מלכותי,One of royal blood.,True,"00:28:10,970","00:28:13,430","00:28:10,982","00:28:12,776"
"איך אתה יכול אפילו לקוות, ?לאחד את האימפריה","How can you possibly hope, to unite the empire?",True,"00:28:17,480","00:28:19,660","00:28:17,447","00:28:19,532"
"הממזר של אימי, .מעולם לא ביקר באטלנטיס","My mother's bastard, has never even been to Atlantis.",True,"00:28:19,770","00:28:22,810","00:28:19,616","00:28:22,660"
...הוא נאמן ליבש,His loyalty is to the surface.,True,"00:28:22,940","00:28:24,040","00:28:22,786","00:28:23,995"
!שוכני יבשה! לתקוף,Surface-dwellers! To arms!,True,"00:28:34,820","00:28:37,260","00:28:34,798","00:28:37,092"
!מלככם נפצע,Your king is injured!,True,"00:28:58,040","00:28:59,310","00:28:58,071","00:28:59,280"
.אני לא מנסה להכריז על מלחמה,I'm not trying to start a war.,True,"00:29:58,940","00:30:01,140","00:29:58,923","00:30:00,925"
.המלחמה כבר החלה,The war has already begun.,True,"00:30:01,880","00:30:03,610","00:30:01,843","00:30:03,219"
"אם כך, הגיע הזמן, .למסור להם כי אנו קיימים","Then it's time we send them, a message they'll hear.",True,"00:30:03,760","00:30:07,210","00:30:03,761","00:30:07,015"
".קח את במפתחות, .תודה -","- Here're the keys., - Thank you.",True,"00:30:12,920","00:30:14,720","00:30:12,979","00:30:14,772"
",אם סבא היה עדיין בחיים","If your grandpops was still alive,",True,"00:30:17,120","00:30:18,620","00:30:17,150","00:30:18,510"
"הוא היה דופק לנו את הראש, .שלא סיימנו עם זה","he'd be banging our heads, for not finishing it.",True,"00:30:18,630","00:30:20,690","00:30:18,610","00:30:20,612"
",כן, הוא היה עושה את זה, .אבל יש לנו מספיק זמן","Yes, he would,, but there is plenty of time for that.",True,"00:30:22,940","00:30:25,460","00:30:22,780","00:30:25,241"
.אצטרך להחזיר אותך למיטה,We gotta get you to bed.,True,"00:30:25,470","00:30:28,170","00:30:25,575","00:30:27,952"
.חיפשתי אותך,I've been looking for you.,True,"00:30:38,380","00:30:39,940","00:30:38,463","00:30:39,503"
".הו, לא, לא, לא","Oh, no, no, no...",True,"00:30:39,950","00:30:41,280","00:30:39,923","00:30:40,924"
.אני צריכה שתבוא איתי לאטלנטיס,I need you to come with me to Atlantis.,True,"00:30:41,280","00:30:42,920","00:30:41,049","00:30:42,717"
.לא היה לזה שום קשר לאטלנטיס,That had nothing to do with Atlantis.,True,"00:30:53,690","00:30:55,860","00:30:53,853","00:30:55,333"
",אחיך למחצה, המלך אורם, .עומד להכריז מלחמה על עולם היבשה","Your half-brother King Orm is about, to declare war upon the surface world.",True,"00:30:55,860","00:30:59,200","00:30:55,396","00:30:59,150"
.מיליארדים ימותו,Billions will die.,True,"00:30:59,200","00:31:01,130","00:30:59,234","00:31:01,027"
.אנשייך ואנשיי,Your people and mine.,True,"00:31:01,140","00:31:02,570","00:31:01,152","00:31:02,445"
.אנו חייבים לעצור בעדו,We must stop him.,True,"00:31:03,370","00:31:05,270","00:31:03,446","00:31:05,073"
?ואיך את מציעה שנעשה את זה,And how do you propose we do that?,True,"00:31:09,810","00:31:11,710","00:31:09,994","00:31:11,746"
.הכס שייך לך על-ידי זכות הבכורה,The throne is yours by birthright.,True,"00:31:15,180","00:31:17,480","00:31:15,208","00:31:17,293"
",נראה לך שאם אגיע, ?אורם הולך לוותר על הכתר","You think if I just show up,, Orm's gonna give up the throne?",True,"00:31:29,370","00:31:32,400","00:31:29,514","00:31:31,874"
"אני הבן הממזר של המלכה, .שאתם הרגתם","I'm the bastard son of the queen, your people executed.",True,"00:31:32,810","00:31:35,880","00:31:32,725","00:31:35,270"
".תאמיני לי, אני לא מלך",Trust me. I am no king.,True,"00:31:35,970","00:31:38,600","00:31:35,937","00:31:38,356"
.אני מסכימה,I agree.,True,"00:31:38,600","00:31:39,470","00:31:38,481","00:31:39,482"
.זה מהמם. מדליק,That's awesome. Cool.,True,"00:31:39,900","00:31:41,580","00:31:39,566","00:31:41,943"
"אבל, עושה רושם שוולקו, .מאמין בך משום-מה","But, Vulko seems to, believe in you for some reason,",True,"00:31:41,680","00:31:44,840","00:31:42,068","00:31:44,654"
.וזו הסיבה שאני כאן,and that's why I'm here.,True,"00:31:44,840","00:31:46,480","00:31:44,779","00:31:45,947"
"וולקו גילה את מיקום הקלשון, .האבוד של אטלן","Vulko has learned of the location, of the Lost Trident of Atlan.",True,"00:31:46,480","00:31:49,380","00:31:46,072","00:31:48,783"
.זו לא אגדה,It's not a myth.,True,"00:31:51,660","00:31:52,670","00:31:51,536","00:31:52,537"
"בעזרת הקלשון הקדוש, .אנשים ישמעו בקולך","With the Sacred Trident,, the people will listen to you.",True,"00:31:52,990","00:31:55,090","00:31:52,662","00:31:55,206"
",ואז תוכל לדרוש את זכותך הבכורה, .ולהדיח את אורם מכס המלכות","You can then claim your birthright, and dethrone Orm.",True,"00:31:55,240","00:31:58,560","00:31:55,331","00:31:58,334"
"אחזיר לו באותה דרך שאנשייך, .התייחסו אלייה","I will treat him exactly the same way, your people treated her.",True,"00:32:04,660","00:32:07,830","00:32:04,799","00:32:07,760"
.בלי רחמים,With no mercy.,True,"00:32:09,170","00:32:10,600","00:32:09,178","00:32:10,471"
.הוא לא אחד מאיתנו,He is not one of us.,True,"00:33:16,430","00:33:18,500","00:33:16,496","00:33:18,456"
!הוא הרג את אבא שלי,He killed my father.,True,"00:33:18,720","00:33:21,410","00:33:18,581","00:33:21,209"
.הטרנזקציה שלנו הסתיימה,Our transaction has ended.,True,"00:33:22,180","00:33:24,640","00:33:22,168","00:33:24,504"
!אבא,Dad!,True,"00:34:42,720","00:34:43,920","00:34:42,582","00:34:43,833"
!אבא,Dad!,True,"00:34:49,190","00:34:50,390","00:34:49,172","00:34:50,173"
!אבא,Dad!,True,"00:35:17,860","00:35:18,860","00:35:17,742","00:35:18,743"
!אבא,Pops!,True,"00:35:23,430","00:35:24,660","00:35:23,456","00:35:24,499"
!אבא,Pops!,True,"00:35:26,200","00:35:27,150","00:35:26,167","00:35:27,168"
"!נו, קדימה",Come on! He's not breathing.,True,"00:35:33,540","00:35:35,420","00:35:33,591","00:35:36,135"
"...נו, אבא","Come on, Pops.",True,"00:35:45,120","00:35:46,480","00:35:45,061","00:35:46,270"
