Hebrew,English,Safe,Hebrew_st,Hebrew_e,English_st,English_e
"שיוכלו לשדוד, !את הזהב מסנט מרטין","can ever rob the gold, from Saint Martin.",True,"00:15:39,680","00:15:43,770","00:15:39,481","00:15:43,652"
!פתחו את הכספת,Open the vault.,True,"00:15:44,390","00:15:46,230","00:15:44,361","00:15:46,572"
!שודד ים,Pirate!,True,"00:16:01,330","00:16:02,450","00:16:01,086","00:16:02,087"
!שודד ים,Pirate!,True,"00:16:05,750","00:16:06,750","00:16:05,591","00:16:06,842"
.סקראם,Scrum.,True,"00:16:34,190","00:16:35,320","00:16:33,994","00:16:35,245"
?כמה זמן,How long?,True,"00:16:38,240","00:16:38,989","00:16:37,873","00:16:38,874"
".לא, לא, לא, רגע, .זה חוזר אליי","No, wait,, it's coming to me.",True,"00:16:40,270","00:16:41,820","00:16:40,167","00:16:41,752"
!היכון,Make ready!,True,"00:16:45,790","00:16:47,250","00:16:45,756","00:16:47,174"
!כוון,Present!,True,"00:16:47,790","00:16:49,080","00:16:47,466","00:16:48,467"
?פרנסיס,Frances?,True,"00:17:11,230","00:17:12,480","00:17:11,073","00:17:12,157"
".כן, הבנתי","Right, I've got it.",True,"00:17:14,270","00:17:15,860","00:17:14,284","00:17:15,786"
!למשוך,Pull!,True,"00:17:35,346","00:17:36,393","00:17:35,347","00:17:36,390"
!קדימה,Come on!,True,"00:17:37,630","00:17:38,670","00:17:37,766","00:17:38,308"
.זה לא היה חלק מהתכנית,That was not part of the plan.,True,"00:18:07,540","00:18:09,660","00:18:07,546","00:18:09,590"
"!דיו, קדימה",Yo! Come on!,True,"00:18:19,710","00:18:21,630","00:18:19,641","00:18:21,894"
"אף אישה, .מעולם לא נגעה בהרשל שלי","No woman's ever, handled my Herschel.",True,"00:19:13,060","00:19:15,690","00:19:12,903","00:19:15,614"
"...לא, לא, לא","Oh, no, no, no!",True,"00:19:26,570","00:19:28,410","00:19:26,375","00:19:28,377"
"!תעצרו! תעצרו, תעצרו",Stop! Stop! Stop!,True,"00:19:31,080","00:19:33,250","00:19:31,171","00:19:32,881"
!תיכנסי פנימה,Get inside!,True,"00:19:36,917","00:19:38,014","00:19:36,718","00:19:38,011"
!פנייה חדה ימינה,Hard to starboard.,True,"00:19:45,590","00:19:47,050","00:19:45,561","00:19:46,728"
"אני מכשפה כי מיינתי, ?למעלה ממאתיים כוכבים","Am I a witch for having, cataloged over 200 stars?",True,"00:20:15,500","00:20:18,369","00:20:15,340","00:20:18,260"
!מכשפה,Witch!,True,"00:20:18,370","00:20:19,460","00:20:18,427","00:20:19,094"
.ירח דם יתרחש בקרוב,There is a blood moon coming.,True,"00:20:21,590","00:20:23,000","00:20:21,346","00:20:22,848"
!הצילו,Help!,True,"00:20:30,090","00:20:31,100","00:20:29,688","00:20:30,480"
"!ושודד ים, !יש מכשפה ושודד ים בחנות שלי","And a pirate! There's a witch, and a pirate in my shop!",True,"00:20:39,690","00:20:43,020","00:20:39,489","00:20:42,951"
.אז זה יום המזל שלך,"Well, it's your lucky day!",True,"00:20:43,070","00:20:44,820","00:20:43,118","00:20:45,120"
"האם אחד מארבעתכם, ?ראה את הבנק שלי","Have either of the four of you, seen my bank?",True,"00:20:45,280","00:20:47,530","00:20:45,287","00:20:47,706"
.מצאתי אותו,Found it!,True,"00:20:51,130","00:20:52,340","00:20:51,001","00:20:52,002"
?את חלק מהתכנית,Were you part of the plan?,True,"00:20:56,040","00:20:57,619","00:20:55,756","00:20:57,299"
.אני לא מחפשת צרות,I'm not looking for trouble.,True,"00:20:57,620","00:20:59,079","00:20:57,466","00:20:58,800"
.איזו דרך נוראית לחיות,What a horrible way to live.,True,"00:20:59,080","00:21:00,790","00:20:58,967","00:21:00,969"
"!תעצרו את המכשפה, !תתפסו אותה","Stop that witch!, Get her!",True,"00:21:08,770","00:21:10,880","00:21:08,852","00:21:10,228"
.את צריכה לצעוק,You need to scream.,True,"00:21:16,320","00:21:18,030","00:21:16,026","00:21:17,861"
!שודד ים מטונף,You filthy pirate!,True,"00:21:24,660","00:21:26,200","00:21:25,035","00:21:26,078"
.אין צורך לקרוא בשמות,No need for name-calling!,True,"00:21:26,370","00:21:28,080","00:21:26,244","00:21:28,163"
"!קדימה, בחורים","Come on, lads!",True,"00:21:40,340","00:21:41,791","00:21:40,175","00:21:41,343"
?גשר,Bridge?,True,"00:22:11,500","00:22:12,500","00:22:11,206","00:22:12,040"
!היא ריקה,It's empty!,True,"00:22:47,320","00:22:48,490","00:22:47,284","00:22:48,285"
?איפה האוצר,Where is the dosh?,True,"00:22:49,740","00:22:50,909","00:22:49,578","00:22:50,495"
"אתם, חבורת פחדנים שפלים, ,שנולדו בטעות","You gaggle of gutless, heels of the womb's guilty...",True,"00:22:53,370","00:22:55,709","00:22:53,248","00:22:56,084"
"אשמים בכך שאני, !בצרה הצרורה הזאת מלכתחילה","of putting me in this dreadful, pickle in the first place.",True,"00:22:55,710","00:22:58,500","00:22:56,251","00:22:59,296"
"עכשיו תעמדו בשורה, .ותשלמו לי את חלקכם","Now line up, and offer me your tribute.",True,"00:22:59,170","00:23:01,590","00:22:59,463","00:23:01,423"
.כולנו גוועים ברעבים,All of us are starving.,True,"00:23:11,430","00:23:12,969","00:23:11,183","00:23:12,642"
"לא נמשיך ללכת אחר קפטן, .בלי ספינה","We will no longer follow, a captain without a ship.",True,"00:23:12,970","00:23:15,559","00:23:12,809","00:23:15,270"
.יש לי ספינה,I have a ship.,True,"00:23:15,560","00:23:16,810","00:23:15,437","00:23:17,105"
"הפנינה השחורה, .מעולם לא עזבה אותי","Black Pearl has, never left me side.",True,"00:23:18,690","00:23:20,980","00:23:18,482","00:23:20,525"
"שודד הים ברבוסה, .שולט בימים האלו עכשיו","The pirate Barbossa, rules these seas now.",True,"00:23:21,820","00:23:24,899","00:23:21,735","00:23:24,946"
"איש בעל רגל אחת, ?וכדורים במשקל שמונה קילו","One-legged man, with 18 pound balls?",True,"00:23:31,280","00:23:33,240","00:23:31,453","00:23:32,829"
.בגלל זה הוא הולך מצחיק,That's why he walks funny.,True,"00:23:34,160","00:23:35,750","00:23:33,955","00:23:35,624"
".בחייכם, חברים","Oh, come, come, mates.",True,"00:23:36,250","00:23:37,619","00:23:35,874","00:23:37,417"
"לא מצאנו את אוצר, ?מקדוניה ביחד","Did we not find the Treasure, of Macedonia together?",True,"00:23:37,620","00:23:39,959","00:23:37,584","00:23:39,836"
.איבדת את המזל שלך,You've lost your luck.,True,"00:23:55,680","00:23:56,890","00:23:55,477","00:23:56,812"
.איבדת את הספינה שלך,You've lost your ship.,True,"00:23:57,310","00:23:58,559","00:23:56,978","00:23:58,230"
.עכשיו איבדת את הצוות שלך,"Now, you've lost your crew.",True,"00:23:58,560","00:24:01,360","00:23:58,396","00:24:01,650"
.בסדר,Right then.,True,"00:24:24,690","00:24:25,690","00:24:24,339","00:24:25,590"
"בחיים לא תפליגו שוב, !עם קפטן ג'ק ספארו","You'll never sail with, Captain Jack Sparrow again,",True,"00:24:32,280","00:24:34,779","00:24:31,888","00:24:34,349"
.זה מה שאומר לכם,tell you that.,True,"00:24:34,780","00:24:35,740","00:24:34,432","00:24:35,433"
"מקשקש עכשיו, .על שודדי ים וקלשונים","Found jabbering about pirates, and tridents.",True,"00:25:32,550","00:25:37,010","00:25:32,157","00:25:36,745"
",בבקשה, אדוני, .שחרר אותי מהשלשלאות האלו","Please, sir,, let me go of these chains.",True,"00:25:37,630","00:25:39,549","00:25:37,412","00:25:39,247"
"העבודה שלי, ,היא להגן על האי הזה והמים האלו","My job is to protect, this island and these waters.",True,"00:25:39,550","00:25:42,930","00:25:39,414","00:25:42,834"
.סימן של בוגד,The mark of treason.,True,"00:25:47,270","00:25:48,730","00:25:47,172","00:25:48,340"
.וככה תמות,And that is how you'll die.,True,"00:25:52,480","00:25:54,440","00:25:52,344","00:25:54,471"
".תניחי לי בבקשה, אחות","Please leave me, sister.",True,"00:26:08,460","00:26:09,880","00:26:08,193","00:26:09,611"
?אתה מדבר על הקלשון,You speak of the Trident?,True,"00:26:14,340","00:26:15,760","00:26:13,949","00:26:15,450"
"הקלשון יכול לשבור, .כל קללה בים","The Trident can break, any curse at sea.",True,"00:26:21,720","00:26:23,970","00:26:21,539","00:26:23,959"
.גם לא ברוחות רפאים,Neither are ghosts.,True,"00:26:30,020","00:26:31,100","00:26:29,965","00:26:31,049"
?ולמה באת,Then why did you come here?,True,"00:26:34,400","00:26:35,860","00:26:34,302","00:26:35,804"
"...לפתור את המפה, ,שאיש לא יכול לקרוא-","- To solve The Map No Man..., - No Man Can Read.",True,"00:26:38,280","00:26:40,450","00:26:38,181","00:26:40,558"
.שהשאיר פוסידון בעצמו,Left by Poseidon himself.,True,"00:26:40,910","00:26:42,530","00:26:40,725","00:26:42,811"
"אבל איש לא ראה, .או קרא את המפה הזאת מעולם","But this map has never been, seen nor read by any man.",True,"00:26:50,960","00:26:53,710","00:26:50,694","00:26:54,030"
".למזלי, אני אישה","Luckily, I'm a woman.",True,"00:26:54,710","00:26:56,210","00:26:54,489","00:26:56,825"
"אז את אומרת שהמפה, שאיש לא יכול לקרוא","So you're saying, The Map No Man Can Read",True,"00:27:11,850","00:27:14,060","00:27:11,673","00:27:14,217"
"הוא האמין שאוכל למצוא, .את מה שאיש מעולם לא מצא","He believed I could find, what no man has ever found",True,"00:27:17,860","00:27:21,239","00:27:17,679","00:27:20,974"
.לא אאכזב אותו,and I will not let him down.,True,"00:27:21,240","00:27:23,030","00:27:21,057","00:27:23,059"
.ולמצוא את הקלשון,And the Trident found.,True,"00:27:29,040","00:27:30,370","00:27:28,857","00:27:30,358"
?מי את,Who are you?,True,"00:27:31,330","00:27:32,369","00:27:31,026","00:27:31,901"
!קארינה סמית,Carina Smyth.,True,"00:27:32,370","00:27:33,580","00:27:32,068","00:27:34,362"
"תמצא לנו ספינה, .והקלשון יהיה שלנו","Find us a ship, and the Trident will be ours.",True,"00:27:37,300","00:27:39,710","00:27:37,032","00:27:39,034"
"!בואי אליי, מכשפה","Turn to me, witch.",True,"00:27:41,260","00:27:42,630","00:27:41,036","00:27:43,038"
!עצרי,Hold.,True,"00:27:47,060","00:27:48,180","00:27:46,791","00:27:48,001"
!הוא נעלם,He's gone!,True,"00:27:55,230","00:27:56,400","00:27:55,091","00:27:56,593"
"!הוא נעלם, המפקד","He's gone, sir!",True,"00:27:57,480","00:27:58,650","00:27:57,260","00:27:58,636"
.תמצאו את הפחדן,Find that coward.,True,"00:28:01,360","00:28:03,110","00:28:01,264","00:28:03,058"
"אתם חושבים, ?שמוחו של קפטן ג'ק נשטף, מה","Think, Captain Jack's washed up, eh?",True,"00:28:07,660","00:28:09,950","00:28:07,270","00:28:10,148"
.לא נשטפתי שנים,I've not had a wash in years.,True,"00:28:11,120","00:28:13,460","00:28:10,899","00:28:14,069"
.לעזאזל,Bugger.,True,"00:28:29,600","00:28:30,640","00:28:29,250","00:28:30,126"
?אולי סחר חליפין,How about a trade?,True,"00:29:02,630","00:29:04,050","00:29:02,325","00:29:04,035"
.תן לי את הבקבוק,Give me the bottle.,True,"00:29:06,970","00:29:08,300","00:29:06,663","00:29:08,206"
"?קפטן, מה קורה","Capitán, what's happening?",True,"00:30:03,530","00:30:06,820","00:30:03,261","00:30:06,347"
!אנחנו חופשיים,We are free!,True,"00:30:46,690","00:30:48,400","00:30:46,638","00:30:48,389"
.חיי שודדי הים,Pirate's life.,True,"00:31:07,840","00:31:09,220","00:31:07,575","00:31:09,244"
.בוא לאבא,Come to daddy. Oh!,True,"00:31:19,060","00:31:20,310","00:31:19,128","00:31:20,380"
?יוצא להורג,Executed?,True,"00:31:30,150","00:31:31,899","00:31:30,139","00:31:31,432"
"כף רגלי לעולם לא תדרוך שוב, !באי הזה, אדוני","I will never set foot, in this town again, sir.",True,"00:31:31,900","00:31:35,119","00:31:31,599","00:31:34,936"
.על הכל להתפצל,all must divide.,True,"00:33:25,890","00:33:27,190","00:33:25,588","00:33:27,215"
".תיזהר, אדוני","Look right here, sir.",True,"00:33:45,910","00:33:47,579","00:33:45,733","00:33:47,318"
",אני מחפש שודד ים, .ג'ק ספארו","I'm looking for a pirate., Jack Sparrow.",True,"00:33:52,130","00:33:54,089","00:33:51,989","00:33:53,658"
.עוף מפה,Bugger off.,True,"00:33:54,090","00:33:55,260","00:33:53,825","00:33:55,159"
.תן לי את חרבך,Hand me your sword.,True,"00:34:07,520","00:34:08,639","00:34:07,088","00:34:08,423"
.אין לי חרב,I don't have a sword.,True,"00:34:08,640","00:34:09,890","00:34:08,589","00:34:09,590"
",אני מחפש שודדי ים, .קפטן ג'ק ספארו","I'm looking for a pirate., Captain Jack Sparrow.",True,"00:34:16,490","00:34:19,160","00:34:16,472","00:34:19,308"
",אז היום יום המזל שלך","Well, today is your lucky day.",True,"00:34:20,360","00:34:22,200","00:34:20,101","00:34:21,686"
"כי אני במקרה, .קפטן ג'ק ספארו","'Cause I just happen to be, Captain Jack Sparrow.",True,"00:34:22,990","00:34:27,620","00:34:22,770","00:34:28,276"
"ג'ק ספארו הגדול, .הוא לא איזה שיכור בתא מאסר","The great Jack Sparrow, is not some drunk in a cell.",True,"00:34:38,300","00:34:40,800","00:34:37,952","00:34:40,788"
?מכנסיים,Pants?,True,"00:34:45,470","00:34:46,430","00:34:45,293","00:34:46,544"
"שודד ים גדול, .לא זקוק לדברים מורכבים כאלו","A great pirate does not, require such intricacies.",True,"00:34:47,350","00:34:50,190","00:34:47,128","00:34:49,839"
"אתה בטוח, ?שאתה ג'ק ספארו המפורסם","Are you sure, you're the Jack Sparrow?",True,"00:34:54,650","00:34:56,649","00:34:54,677","00:34:56,220"
.קוראים לי הנרי טרנר,My name is Henry Turner.,True,"00:34:59,200","00:35:00,490","00:34:58,973","00:35:00,558"
"בנם של וויל טרנר, .ואליזבת סוואן","Son of Will Turner, and Elizabeth Swann.",True,"00:35:00,820","00:35:03,070","00:35:00,725","00:35:02,602"
?אמא שואלת עליי,Does mommy ever ask about me?,True,"00:35:07,040","00:35:08,910","00:35:06,856","00:35:08,900"
"אתה בטוח שאנחנו מדברים, ?על אותם אנשים","Are you sure we're talking, about the same people?",True,"00:35:16,000","00:35:18,130","00:35:15,823","00:35:18,159"
",הוא סריס מקולל",He's a cursed eunuch.,True,"00:35:18,460","00:35:20,299","00:35:18,326","00:35:19,827"
",היא זהובת שיער, ,שפתיים עבות ובולטות","She's golden-haired,, stubborn, pouty lips.",True,"00:35:20,300","00:35:24,049","00:35:19,994","00:35:23,748"
".כן! כן, זאת היא","Yes! Yes, it's her.",True,"00:35:27,470","00:35:29,100","00:35:27,418","00:35:29,378"
"יש דבר אחד, שיכול לשבור את הקללה שלו","There is one thing, that can break his curse",True,"00:35:36,730","00:35:38,359","00:35:36,511","00:35:38,179"
.הקלשון של פוסידון,The Trident of Poseidon.,True,"00:35:42,240","00:35:43,570","00:35:41,933","00:35:43,267"
"האוצר שיימצא, .בעזרת המפה שאיש לא יכול לקרוא","The treasure to be found with, The Map That No Man Can Read.",True,"00:35:45,830","00:35:50,200","00:35:45,603","00:35:50,441"
.מעולם לא שמעתי עליו,Never heard of it.,True,"00:35:53,330","00:35:54,420","00:35:53,110","00:35:54,403"
",הירח הפך לדם, הקלשון יימצא","The moon has turned to blood,, the Trident will be found...",True,"00:35:59,260","00:36:02,010","00:35:59,033","00:36:01,702"
...דגול,The great...,True,"00:36:05,970","00:36:06,890","00:36:05,748","00:36:07,583"
!ג'ק,Jack!,True,"00:36:08,970","00:36:09,890","00:36:08,751","00:36:09,585"
",אני ממש מצטער, ?המשכת לדברת","I'm so sorry., Were you still talking?",True,"00:36:10,850","00:36:13,099","00:36:10,753","00:36:12,713"
.נרדמתי קצת,I believe I nodded off a bit.,True,"00:36:13,100","00:36:14,600","00:36:12,880","00:36:14,382"
.משהו בספרדית,something in Spanish.,True,"00:36:26,700","00:36:28,200","00:36:26,477","00:36:28,312"
.קוטל הים,The Butcher of the Sea.,True,"00:36:30,580","00:36:32,019","00:36:30,565","00:36:31,691"
".הוא? לא, לא","Him? No, no.",True,"00:36:32,020","00:36:33,790","00:36:31,858","00:36:33,734"
.אני לא מאמין לך,I don't believe you.,True,"00:36:44,550","00:36:45,800","00:36:44,287","00:36:45,663"
?מה הוא אמר,What did he say?,True,"00:36:48,510","00:36:49,800","00:36:48,249","00:36:49,333"
"הוא אמר שהמצפן שלך, .הוא המפתח לבריחתו","He said your compass, was the key to his escape.",True,"00:36:49,810","00:36:52,270","00:36:49,500","00:36:51,752"
"הקלשון של פוסידון, .הוא תקוותך היחידה","The Trident of Poseidon, is your only hope.",True,"00:36:55,140","00:36:57,440","00:36:55,006","00:36:57,592"
?עשינו עסק,Do we have an accord?,True,"00:36:59,570","00:37:00,770","00:36:59,427","00:37:01,262"
"לא, הרעיון שלי, .היה שאתה תספר לו","No, it was my idea, for you to tell him.",True,"00:37:12,870","00:37:16,289","00:37:12,982","00:37:15,860"
.הוא אוהב אותך יותר ממני,He likes you more than me.,True,"00:37:16,290","00:37:17,789","00:37:16,027","00:37:17,528"
.הוא לא אוהב אף אחד,He doesn't like anybody.,True,"00:37:17,790","00:37:19,250","00:37:17,695","00:37:19,280"
".סליחה, אדוני","Sorry, sir.",True,"00:37:42,610","00:37:43,899","00:37:42,470","00:37:43,554"
"אנחנו יודעים שאמרת, .לעולם לא להפריע לך","We know you said, never to disturb you.",True,"00:37:43,900","00:37:45,529","00:37:43,721","00:37:45,306"
"אז שוב, אנחנו מתנצלים, .שהדלקנו את השריפה הזאת","Sir, again, we do apologise, for starting that fire.",True,"00:37:59,710","00:38:02,920","00:37:59,862","00:38:02,406"
.דברו,Speak.,True,"00:38:09,680","00:38:10,840","00:38:09,497","00:38:10,831"
".הספינות שלך, אדוני","It's your ships, sir.",True,"00:38:11,350","00:38:12,890","00:38:10,998","00:38:12,917"
