Hebrew,English,Safe,Hebrew_st,Hebrew_e,English_st,English_e
.כל זה לא מזויף,None of this stuff is fake.,True,"00:11:52,248","00:11:53,958","00:11:52,254","00:11:53,964"
.אני חייב לעצור את הרכבת,I gotta stop this train.,True,"00:11:56,794","00:11:58,337","00:11:56,800","00:11:58,385"
.אחד עם כוח אמיתי,One with real power.,True,"00:12:01,215","00:12:02,717","00:12:01,221","00:12:02,639"
?על מה אתה מדבר,What are you talking about?,True,"00:12:03,092","00:12:04,218","00:12:03,098","00:12:04,224"
.האנטיקיתרה,The Antikythera.,True,"00:12:06,220","00:12:07,430","00:12:06,268","00:12:07,186"
!?האנטיקיתרה,"COLONEL,  The Antikythera?!",True,"00:12:07,889","00:12:08,723","00:12:07,895","00:12:08,562"
!די עם החוגה הזו כבר,Enough about that old dial!,True,"00:12:08,806","00:12:10,641","00:12:08,812","00:12:10,814"
!ויצא מדעתו,and his mind!,True,"00:12:13,644","00:12:15,021","00:12:13,650","00:12:15,027"
.תן לי להסביר,Let me explain.,True,"00:12:17,148","00:12:18,566","00:12:17,362","00:12:18,572"
.זו מתמטיקה,It is mathematics.,True,"00:12:23,321","00:12:25,364","00:12:23,493","00:12:25,370"
...מי שירתום את כוחה,Whoever harnesses it...,True,"00:12:26,824","00:12:28,576","00:12:27,080","00:12:28,582"
...לא יהיה מלך,will not be King...,True,"00:12:30,661","00:12:32,163","00:12:30,667","00:12:32,169"
...או קיסר,nor Emperor...,True,"00:12:32,914","00:12:33,915","00:12:32,920","00:12:33,921"
.או פיהרר,or Führer.,True,"00:12:35,208","00:12:36,501","00:12:35,297","00:12:36,507"
.הוא יהיה אלוהים,He will be God.,True,"00:12:40,004","00:12:41,797","00:12:40,010","00:12:41,803"
.יותר מדי נאצים,(IN ENGLISH) Too many Nazis.,True,"00:13:00,525","00:13:01,817","00:13:00,322","00:13:01,865"
",פיהרר שלי","My Führer,",True,"00:13:08,783","00:13:09,825","00:13:08,997","00:13:09,706"
.סליחה שהרומח של לונגינוס מזויף,I'm sorry the Lance of Christ is fake.,True,"00:13:10,368","00:13:12,411","00:13:10,374","00:13:12,417"
...אבל הנה,But here is...,True,"00:13:12,662","00:13:13,579","00:13:12,668","00:13:13,836"
.חצי ממשהו שמעולם לא שמעת עליו,half of something you've never heard of.,True,"00:13:15,248","00:13:18,000","00:13:15,254","00:13:18,006"
",תגיד לי","Tell me,",True,"00:13:19,544","00:13:20,545","00:13:19,550","00:13:20,509"
!!?פגשת פעם את היטלר,have you ever MET HITLER?!!,True,"00:13:20,962","00:13:22,213","00:13:20,968","00:13:22,469"
.יש מחבל על הרכבת,A saboteur aboard.,True,"00:13:25,049","00:13:26,259","00:13:25,055","00:13:26,139"
.והרומח של היטלר נעלם,And Hitler's Lance is gone.,True,"00:13:26,342","00:13:27,593","00:13:26,348","00:13:27,641"
!לשם,That way!,True,"00:14:09,010","00:14:10,219","00:14:09,016","00:14:10,225"
!?מה אתה עושה פה,What are you doing here?!,True,"00:14:13,890","00:14:15,141","00:14:13,896","00:14:15,189"
?מה לעזאזל,(IN ENGLISH) What the hell?,True,"00:14:22,231","00:14:23,274","00:14:22,571","00:14:23,822"
?אינדי,"BASIL,  Indy?",True,"00:14:24,817","00:14:26,277","00:14:24,823","00:14:26,116"
?באז,Baz?,True,"00:14:26,360","00:14:27,236","00:14:26,200","00:14:27,201"
!אתה חי,"BASIL,  You're alive!",True,"00:14:27,570","00:14:28,487","00:14:27,534","00:14:28,535"
.בינתיים,So far.,True,"00:14:29,280","00:14:30,239","00:14:29,244","00:14:30,245"
",התכוונתי לעצור אותם, .אבל עכשיו אני צריך להציל אותך","I was gonna stop 'em,, but now I've gotta rescue you.",True,"00:14:54,555","00:14:57,683","00:14:54,686","00:14:57,731"
?מי אתה,(IN GERMAN) Who are you?,True,"00:15:09,028","00:15:09,987","00:15:09,243","00:15:09,910"
?אינדי,"BASIL,  Indy?",True,"00:15:14,617","00:15:15,493","00:15:14,623","00:15:15,624"
.האנטיקיתרה,The Antikythera.,True,"00:15:24,544","00:15:25,837","00:15:24,550","00:15:25,843"
.חוגתו של ארכימדס,Archimedes' Dial.,True,"00:15:27,004","00:15:28,673","00:15:27,010","00:15:28,679"
.תביא אותה,Bring it.,True,"00:15:30,216","00:15:31,217","00:15:30,222","00:15:31,223"
".מהר, באז","INDIANA,  Hurry up, Baz.",True,"00:15:48,943","00:15:50,027","00:15:48,949","00:15:50,075"
.תן לי את זה,Give me that.,True,"00:15:53,197","00:15:54,448","00:15:52,995","00:15:54,371"
.קדימה,Come on.,True,"00:15:54,532","00:15:55,616","00:15:54,538","00:15:55,664"
".קום, באז","Get up, Baz.",True,"00:16:10,298","00:16:11,966","00:16:10,304","00:16:11,889"
.בוא אחריי,Follow me.,True,"00:16:12,049","00:16:13,342","00:16:12,055","00:16:13,265"
?לכיוון הרובה,Towards the gun?,True,"00:16:13,926","00:16:15,303","00:16:13,932","00:16:15,225"
!הרחק מהנאצים,Away from the Nazis!,True,"00:16:15,386","00:16:16,637","00:16:15,392","00:16:16,685"
!אלה הנאצים,Those are Nazis!,True,"00:16:17,221","00:16:19,140","00:16:17,102","00:16:19,062"
!תתכופף! תתכופף,Get down! Down! Down!,True,"00:16:19,724","00:16:21,559","00:16:19,605","00:16:21,607"
!מכאן. בוא,This way. Come on!,True,"00:17:10,858","00:17:11,984","00:17:10,864","00:17:12,031"
!אני לא יכול,I can't do that!,True,"00:17:12,693","00:17:13,569","00:17:12,616","00:17:13,617"
!האנטיקיתרה אצלם,(IN GERMAN) They have the Antikythera!,True,"00:17:19,492","00:17:20,743","00:17:19,498","00:17:20,874"
!מנהרה,Tunnel!,True,"00:17:54,360","00:17:55,236","00:17:54,199","00:17:55,200"
!אינדי,"BASIL,  Indy!",True,"00:18:47,955","00:18:48,998","00:18:47,961","00:18:49,213"
!קח את האקדח,Get the gun!,True,"00:18:57,381","00:18:58,466","00:18:57,387","00:18:58,472"
!תירה בו,Shoot him!,True,"00:19:07,642","00:19:09,060","00:19:07,648","00:19:09,066"
!לא בי,(GROANS) Not me!,True,"00:19:11,771","00:19:13,064","00:19:11,235","00:19:13,070"
.השלל שייך למנצחים,To the victor go the spoils.,True,"00:19:34,502","00:19:36,462","00:19:34,508","00:19:36,510"
.תניח את האקדח,(IN GERMAN) Drop the gun.,True,"00:20:07,493","00:20:09,203","00:20:07,499","00:20:09,209"
.תן לי את האנטיקיתרה,Give me the Antikythera.,True,"00:20:11,956","00:20:13,499","00:20:11,962","00:20:13,505"
!אינדי,Indy!,True,"00:20:24,552","00:20:25,928","00:20:24,558","00:20:25,976"
!היי,Hey!,True,"00:20:36,939","00:20:37,857","00:20:36,778","00:20:37,779"
"!כאן, .הם לא שומעים אותך, באז-","-(IN ENGLISH) Here!, -They can't hear you, Baz.",True,"00:20:40,860","00:20:43,154","00:20:40,866","00:20:43,202"
!צריך לקפוץ,We gotta jump!,True,"00:20:43,738","00:20:45,198","00:20:43,744","00:20:45,120"
?מה עם הברך הדפוקה שלי,What about my dicky knee?,True,"00:20:45,281","00:20:46,574","00:20:45,287","00:20:46,622"
!באז,Baz!,True,"00:20:53,581","00:20:54,582","00:20:53,587","00:20:54,588"
!באז,Baz!,True,"00:20:55,500","00:20:56,501","00:20:55,506","00:20:56,507"
!באז,Baz!,True,"00:20:58,336","00:20:59,378","00:20:58,342","00:20:59,384"
"!אינדי, !באז-","-Indy!, -Baz!",True,"00:21:00,713","00:21:02,340","00:21:00,719","00:21:02,387"
!קדימה! זוזו,"SOLDIER,  Go! Move! Move it!",True,"00:21:07,678","00:21:09,180","00:21:07,684","00:21:09,311"
"קצת מבאס לחזור הביתה, .בידיים ריקות אחרי כל זה","Bit rum to go home, empty-handed after all that.",True,"00:21:10,932","00:21:13,809","00:21:10,938","00:21:13,815"
?בידיים ריקות,Empty-handed?,True,"00:21:14,393","00:21:15,686","00:21:14,399","00:21:15,609"
.לא בדיוק,Not exactly.,True,"00:21:15,770","00:21:17,146","00:21:15,692","00:21:16,902"
.חוגתו של ארכימדס,Archimedes' Dial.,True,"00:21:19,899","00:21:21,108","00:21:19,905","00:21:21,031"
.חצי ממנה,"INDIANA,  Well, half of it.",True,"00:21:21,192","00:21:22,318","00:21:21,198","00:21:22,241"
".קדימה, באז. בוא נחזור הביתה","Come on, Baz. Let's get home.",True,"00:21:22,401","00:21:24,612","00:21:22,407","00:21:24,618"
!לארי! תנמיך את זה,"INDIANA,  Larry! Turn it down!",True,"00:22:29,969","00:22:32,597","00:22:29,975","00:22:32,603"
!תנמיך את זה,Turn it down!,True,"00:22:33,639","00:22:34,974","00:22:33,645","00:22:34,897"
"!היי, לארי","Hey, Larry!",True,"00:22:35,057","00:22:36,893","00:22:35,063","00:22:36,899"
!לארי,Larry!,True,"00:22:51,616","00:22:52,617","00:22:51,622","00:22:52,623"
!לארי,Larry!,True,"00:22:54,118","00:22:55,077","00:22:54,124","00:22:55,125"
".היי, מר ג'ונס, ?איפה לארי-","-Hi, Mr. Jones., -Where's Larry?",True,"00:22:55,161","00:22:56,746","00:22:55,209","00:22:56,752"
".שמונה בבוקר עכשיו, .דיברנו על זה, לארי-","-It's 8, 00 in the morning., -We talked about this, Larry.",True,"00:23:01,918","00:23:04,504","00:23:02,049","00:23:04,426"
"כן, אבל זה היה","Yeah, but that was",True,"00:23:04,587","00:23:05,630","00:23:04,510","00:23:05,636"
".יום חול, מר ג'ונס, !גם זה יום חול, לארי-","-a workday, Mr. Jones., -This is a workday too, Larry!",True,"00:23:05,713","00:23:08,132","00:23:05,719","00:23:08,180"
.תדליק חדשות,Turn on the news.,True,"00:23:09,550","00:23:10,801","00:23:09,556","00:23:10,724"
?יום הירח,Moon day?,True,"00:23:13,387","00:23:14,597","00:23:13,393","00:23:14,603"
.תודה,Thanks.,True,"00:24:07,984","00:24:08,818","00:24:07,990","00:24:09,074"
?בסדר,Okay?,True,"00:24:32,300","00:24:33,301","00:24:32,306","00:24:33,307"
.בווינפורד להיום,in Winford for today.,True,"00:24:37,930","00:24:39,515","00:24:37,936","00:24:39,563"
?מישהו קרא,Anybody do the reading?,True,"00:24:39,599","00:24:41,225","00:24:39,730","00:24:41,231"
?מישהו,Anyone?,True,"00:24:43,686","00:24:44,562","00:24:43,525","00:24:44,526"
".נו באמת, זה יהיה במבחן",This is on the test.,True,"00:24:47,315","00:24:49,317","00:24:47,321","00:24:49,364"
.טוב,Okay.,True,"00:24:49,400","00:24:50,735","00:24:49,531","00:24:50,741"
",ב-213 לפנהס","In 213 BC,",True,"00:24:56,824","00:24:59,535","00:24:56,830","00:24:59,458"
כוחות רומאיים בהנהגת מרקלוס,Roman forces led by Marcellus,True,"00:24:59,619","00:25:01,704","00:24:59,625","00:25:01,627"
.סירקוזה,Syracuse.,True,"00:25:04,665","00:25:06,417","00:25:04,796","00:25:06,465"
.זאת שבסיצליה,The one in Sicily.,True,"00:25:10,546","00:25:12,215","00:25:10,677","00:25:12,262"
.ארכימדס,Archimedes.,True,"00:25:23,309","00:25:24,852","00:25:23,315","00:25:24,900"
.ארכימדס,Archimedes.,True,"00:25:25,770","00:25:26,854","00:25:25,776","00:25:26,818"
"...ארכימדס, שהיה","Archimedes, who was a...",True,"00:25:26,938","00:25:28,397","00:25:26,985","00:25:28,320"
.מתמטיקאי,A mathematician.,True,"00:25:28,481","00:25:29,690","00:25:28,487","00:25:29,613"
.מתמטיקאי,"INDIANA,  A mathematician.",True,"00:25:29,774","00:25:31,025","00:25:29,780","00:25:30,948"
.מהנדס מבריק,a brilliant engineer,True,"00:25:33,861","00:25:36,447","00:25:33,867","00:25:36,370"
שהמציא צבתות ברזל ענקיות,Who devised giant iron claws,True,"00:25:46,624","00:25:50,294","00:25:46,755","00:25:50,217"
"?ישנה להמצאות האלו, .האנטיקיתרה-","-is there of these inventions?, -The Antikythera.",True,"00:26:03,599","00:26:07,019","00:26:03,730","00:26:07,067"
".האנטיקיתרה, .בתור התחלה-","-The Antikythera., -For starters.",True,"00:26:08,437","00:26:10,690","00:26:08,443","00:26:10,612"
.האסטרונאוטים,The astronauts.,True,"00:26:14,735","00:26:16,153","00:26:14,741","00:26:16,076"
.הנה הוא בא,"MAN 2,  Oh, here he comes.",True,"00:26:26,497","00:26:27,915","00:26:26,503","00:26:27,921"
.תחביאו את העוגה,"WOMAN,  Hide the cake.",True,"00:26:28,958","00:26:29,876","00:26:28,881","00:26:29,882"
".הפתעה, !הפתעה-","-Surprise., -ALL,  Surprise!",True,"00:26:31,586","00:26:33,629","00:26:31,592","00:26:33,677"
.אות להוקרתנו,A token of our gratitude.,True,"00:26:45,057","00:26:46,642","00:26:45,063","00:26:46,648"
.תודה שסבלתם אותי,Thanks for putting up with me.,True,"00:26:59,322","00:27:01,199","00:26:59,328","00:27:01,205"
.בבקשה,Here.,True,"00:27:15,379","00:27:16,464","00:27:15,636","00:27:16,720"
?מה היו אומרים בעת העתיקה,What would the ancients say?,True,"00:27:38,861","00:27:40,154","00:27:38,867","00:27:40,202"
",בתור אדם עתיק","Speaking as an ancient,",True,"00:27:45,535","00:27:47,161","00:27:45,541","00:27:47,084"
...אמצע שום מקום,Middle of nowhere,True,"00:27:49,872","00:27:51,164","00:27:49,878","00:27:51,171"
.ואין בלאק ג'ק,and no blackjack.,True,"00:27:52,374","00:27:53,834","00:27:52,381","00:27:53,841"
".לא משנה מה עשיתי, אני מתנצל","Whatever I did, I apologize.",True,"00:27:58,839","00:28:00,882","00:27:58,846","00:28:00,889"
.אני הלנה,It's Helena.,True,"00:28:01,842","00:28:02,884","00:28:01,849","00:28:02,891"
.הלנה שו,Helena Shaw.,True,"00:28:04,469","00:28:05,470","00:28:04,476","00:28:05,519"
".גבהת, .נכון-","-You got tall. (LAUGHS), -I did.",True,"00:28:11,059","00:28:12,602","00:28:11,066","00:28:12,651"
.אפשר לומר,It's fair to say.,True,"00:28:12,686","00:28:14,104","00:28:12,818","00:28:14,111"
.אני חוגג,I'm celebrating.,True,"00:28:16,231","00:28:17,315","00:28:16,238","00:28:17,322"
.שירות חדרים למר שמידט,Room service for Mr. Schmidt.,True,"00:28:28,076","00:28:29,828","00:28:28,083","00:28:29,835"
.תניח את זה,"AGENT,  (IN ENGLISH) Put that away.",True,"00:28:42,340","00:28:43,383","00:28:42,347","00:28:43,390"
תמיד דמיינתי,I always imagined,True,"00:28:56,605","00:28:57,856","00:28:56,612","00:28:57,779"
...ובחיי,And by golly...,True,"00:29:02,194","00:29:03,320","00:29:02,201","00:29:03,327"
",האיש שאתה משרת","The man you're servin',",True,"00:29:15,081","00:29:16,625","00:29:15,088","00:29:16,548"
.ברכותיי,Congratulations.,True,"00:29:21,630","00:29:22,839","00:29:21,637","00:29:22,888"
?מאיפה אתה,Where are you from?,True,"00:29:23,215","00:29:24,216","00:29:23,138","00:29:24,139"
".הברונקס, אדוני","The Bronx, sir.",True,"00:29:25,258","00:29:26,134","00:29:25,140","00:29:26,141"
?אתה יודע,Do you know?,True,"00:29:28,345","00:29:29,346","00:29:28,352","00:29:29,353"
.גדוד 320,320th Battalion.,True,"00:29:41,066","00:29:42,442","00:29:41,073","00:29:42,491"
.לא ניצחתם במלחמה,You didn't win the war.,True,"00:30:03,797","00:30:05,006","00:30:03,804","00:30:05,013"
.היטלר הפסיד אותה,Hitler lost it.,True,"00:30:06,675","00:30:07,801","00:30:06,682","00:30:07,808"
".כן, אני בא","Yeah, I'm comin'.",True,"00:30:19,229","00:30:20,522","00:30:19,236","00:30:20,445"
".בוא, הוק","Let's go, Hauke.",True,"00:30:20,605","00:30:21,606","00:30:20,612","00:30:21,613"
?איפה אנחנו פה,"INDIANA,  Where are we here?",True,"00:30:24,943","00:30:25,986","00:30:24,950","00:30:26,201"
.אוקספורד. בחצר,Oxford. In the garden.,True,"00:30:27,279","00:30:29,155","00:30:27,286","00:30:28,787"
.הוא היה מיוחד,He was an original.,True,"00:30:31,074","00:30:32,367","00:30:31,081","00:30:32,374"
.בדיוק סיימתי ללמוד,I just graduated.,True,"00:30:34,786","00:30:36,288","00:30:34,793","00:30:36,211"
.ארכאולוגיה,In Archeology.,True,"00:30:36,371","00:30:37,330","00:30:36,378","00:30:37,379"
.ארכאולוגיה. וואו,Archeology. Wow.,True,"00:30:38,331","00:30:40,542","00:30:38,338","00:30:40,465"
.התפוח לא נפל רחוק,Apple didn't fall far.,True,"00:30:40,625","00:30:42,252","00:30:40,632","00:30:42,176"
?מה הנושא שלך,(CHUCKLES SOFTLY) What's your subject?,True,"00:30:46,256","00:30:47,215","00:30:46,263","00:30:47,264"
.חוגת ארכימדס,The Archimedes Dial.,True,"00:30:48,049","00:30:50,010","00:30:48,056","00:30:50,058"
.האנטיקיתרה,The Antikythera.,True,"00:30:50,719","00:30:52,137","00:30:50,726","00:30:52,144"
?מה את יודעת עליה,What do you know about that?,True,"00:30:55,098","00:30:56,391","00:30:55,105","00:30:56,440"
",בתור התחלה","Well, for starters,",True,"00:30:56,975","00:30:58,393","00:30:56,982","00:30:58,317"
"ב-1902, שולי ספוגים רומאים, ,מצאו ספינת מלחמה רומאית טרופה","in 1902, Greek sponge divers, found a wrecked Roman warship,",True,"00:30:58,476","00:31:01,938","00:30:58,483","00:31:01,862"
".ענקית, ליד חופי יוון","huge, off the coast of Greece.",True,"00:31:02,022","00:31:03,356","00:31:02,029","00:31:03,405"
",מתחת לסיפון, אטום בשעווה","Below deck, sealed in wax,",True,"00:31:04,024","00:31:05,692","00:31:04,031","00:31:05,741"
",היה מנגנון דמוי שעון","was a clock-like mechanism,",True,"00:31:05,775","00:31:07,527","00:31:05,908","00:31:07,451"
".עשית שיעורי בית, ,לא אני-","-You've done your homework., -Well, not me.",True,"00:31:15,702","00:31:17,913","00:31:15,709","00:31:17,836"
.הוא היה אובססיבי עד הסוף,He was obsessed till the end.,True,"00:31:21,166","00:31:23,001","00:31:21,173","00:31:23,008"
.זה היה מזמן,"Hmm. Well, that was a long time ago.",True,"00:31:36,181","00:31:37,432","00:31:35,437","00:31:37,356"
.וזו הייתה רק חצי חוגה,And it was only half the Dial.,True,"00:31:37,516","00:31:39,059","00:31:37,523","00:31:38,982"
"...ארכימדס, ,ארכימדס חצה את החוגה-","-Archimedes..., -Archimedes broke the Dial...",True,"00:31:39,142","00:31:40,769","00:31:39,066","00:31:40,192"
".פירק אותה, ואז הסתיר...-","-...disassembled it., -...in two, and then hid",True,"00:31:40,852","00:31:41,895","00:31:40,275","00:31:41,818"
?זוכרת מה,Remember what?,True,"00:31:49,986","00:31:51,196","00:31:49,993","00:31:51,119"
.אלה האלפים,These are the Alps.,True,"00:31:51,279","00:31:52,155","00:31:51,203","00:31:52,204"
".כן, אני רואה","Yeah, I see.",True,"00:31:53,657","00:31:55,325","00:31:53,664","00:31:55,249"
.ואז פה,and then here.,True,"00:32:01,498","00:32:03,083","00:32:01,505","00:32:03,006"
".פה, זה הנהר היחיד במסלול, .כן-","Here, it's the only river, on the route.",True,"00:32:03,166","00:32:05,460","00:32:03,173","00:32:05,008"
".ואף אחד לא יודע חוץ מאיתנו, ?מאיתנו-","-And nobody knows except us., -Us?",True,"00:32:08,338","00:32:10,715","00:32:08,345","00:32:10,764"
".כלומר, ממך","Well, I mean, you.",True,"00:32:11,299","00:32:12,634","00:32:11,056","00:32:12,558"
".וממני. אז, כן","And me. So, yeah.",True,"00:32:12,717","00:32:14,344","00:32:12,724","00:32:14,268"
".מאיתנו, .מאיתנו-","-Us., -Us.",True,"00:32:14,427","00:32:16,263","00:32:14,434","00:32:16,270"
...שאולי,"Well, that maybe...",True,"00:32:21,226","00:32:22,310","00:32:21,233","00:32:22,317"
.נוכל לנסוע לשם,we could go there.,True,"00:32:24,145","00:32:25,647","00:32:24,152","00:32:25,696"
?...ו,And?,True,"00:32:25,730","00:32:26,982","00:32:25,863","00:32:26,905"
.ולמצוא אותה,And find it. And...,True,"00:32:27,065","00:32:28,108","00:32:27,072","00:32:28,156"
...ואז אהיה,And I'd become...,True,"00:32:29,067","00:32:30,694","00:32:29,074","00:32:30,701"
.מפורסמת,famous.,True,"00:32:32,320","00:32:33,572","00:32:32,327","00:32:33,495"
.ארכאולוגית מכובדת,A feted archeologist.,True,"00:32:36,533","00:32:38,410","00:32:36,540","00:32:38,333"
